:START_ID(Document),:END_ID(Organization),:TYPE
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Executive Committee Report,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Ithaka,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Jen-Chien Yu,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,LibQual,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Libnews,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Library Education,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,M.L.S.,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,MEDUSA,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,MLS,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Melinda Gates Foundation,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,OASIS,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Ohio State,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,Penn State University,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,PowerPoint,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,The Associate University Librarians,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,http://webarchives.cdlib.org/institutions/UL,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,the Association of Research Libraries,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,the California Digital Library’s Web Archiving,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,the International Librarian Position,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,the Mortenson Center,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-07-09,the Web Archiving Advisory Group,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Advancement,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Advancement Office Update,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,CARLI,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,CIC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,CPS,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Card Catalog Project Update and Discussion,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Cherié Weible,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Data Stewardship Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Dean of College of Media,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Dean of Engineering,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,EC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,FAQ,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,FRC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Faculty Job Titles,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Friend,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Innovation,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Kirstin Dougan,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,UCLA,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,UIUC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,Update on Executive Committee Business,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,User Services Advisory,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,a Humanities Services Hub,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,senate,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the Advancement Office,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the College of Vet Med,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the Dean of Labor,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the Dean of Libraries,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the Faculty Review Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the Promotion and Tenure Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the Service Advisory committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-09-19,the University Library’s Student Advisory Council,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,AP,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Behavioral Sciences Librarian,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Biss,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,CITES,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Coordinator for Library Assessment,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Council of Deans Meeting,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Data Services Consultant,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Dean of Libraries,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,EC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Executive Committee Report,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Faculty Development,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Faculty Survey,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Grainger,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,IMLS (Institute of Museum and Library Services,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Institutional Advancement,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Ithaka,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Jen-chien,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Jen’s,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,NSF,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,OVCR,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Open Access to Research Articles Act,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,PDF,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Purdue University,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,RDS,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,RPC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Research Data Services,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Research Services Support,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Research and Publications Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,"SSHEL (Social Sciences, Health and Education Library",MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Social Sciences Research Services,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,The Library Executive Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,The User Education Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,UIUC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,University Archives,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,Yale,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,a National Science Foundation,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,senate,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Business Office,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Future Excellence Reports,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Library Research Showcase,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Marshall Gallery,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the New Service Models,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Research Data Service Interest Group,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Research Data Service Proposal,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Research Services Support,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Research and Publications Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Scholarly Commons,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,"the Social Sciences, Health and Education Library",MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Sousa Archives and Center for American Music,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Undergraduate Library,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the Visioning Future Excellence,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2013-09-26,the eResearch Implementation Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,CC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Committee of the Whole,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Creative Commons,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Executive Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Grainger,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Innovation Fund,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Internal Revenue Service,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,LibGuides,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Main Library,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Non-Resident Aliens,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Power Points,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Privacy Policy Implementation Team,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Retreat,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Standing Items,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Summer Graduate Hourly,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,The Provost Office,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,The Task Force,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Undergraduate Library,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Wilkin,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,Wilkin’s,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,a Task Force to Create a Promotional Path for APs.,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,the Archives Research Center,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,the Campus Committee on Promotion and Tenure,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,the Creative Commons (CC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,the Executive Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,the Illinois Research Connection Portal,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2016-04-13,the Main Library,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,APC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,API,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,AUL,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,American Chemical Science,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Amplifies,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,BTAA,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,CNI,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Chris Prom,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Council of Deans,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,DPI,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,EC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,EISSN,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Energy Physics,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Evaluate,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Executive Committee Report and Discussion,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Finding/Using,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,ICR,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,IRs,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Illinois Experts,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Introduction of New Employees,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Ithaka,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,"Librarianship, Research",MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Library Directors,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Marek Sroka,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,PI,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,PowerPoint,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Provost,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Research I Universities,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,SCOAP3,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,SCP,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Scientific Reports,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Special Collections,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,The Library Directors,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,UIUC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,Ulrich’s,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,University,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,University of Illinois at Urbana-Champaign,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,VR Illinois Project,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,a Library Publishing Program,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,a Nature Journal,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,the Library Student Learning Assessment Team Report,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,the University Librarian,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,the University of California,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-06-12,the “Collective Collection,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,CAM,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,CITES,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Collections,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Colleges,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Columbia University,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Computing and Office of Research,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Congress,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Deba Dutta,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Division Coordinators,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,EResearch Task Force: Recommendations for Eresearch Activities,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Executive Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,GEO,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,GMD,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Higher Education,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Kirstin,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Kirstin Dougan,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Krannert,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Media Arts,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Media Commons Coordinator,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,New Cataloging Rules: Resource Description and Access,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Office of Research,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,PowerPoint,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,"Public- facing Services, Communication",MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Purdue,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,RDA,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Research Data Management and Curation IDEALS,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Research Data Service,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Resource Description and Access,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Scholarly Commons,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,Super Computing,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,The Campus Data Stewardship Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,The Library’s,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,The University of Maryland,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,UA,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,UGL,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,UIUC’s Libguides,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,University of California San Diego,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,University system CIO,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the ARL eScience Institute,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Art Institute of Indianapolis,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Associate University Librarians,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Associate of Research Libraries,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Campus Summit,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Content Access Management,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Executive Committee,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Graduate College,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Library Organize and Increase Personnel Support,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Library eResearch Task Force,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Library’s,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Music and Performing Arts Library,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Office of Research,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Office of the Vice Chancellor for Research,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the Task Force,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the University Librarian,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the University of Arizona,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the University of Chicago,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2012-11-14,the eResearch Task Force,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,AP,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,ARL,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,AUL,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Archives Research Center,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Bill Mischo &,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,CC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Carle Illinois College of Medicine,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Dan Tracy & Heidi Imker,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Digital Content,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Digital Preservation,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,EC,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,GIF,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Grainger Commons Call or Order,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Hensley – Undergraduate Research,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,IDEALS,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Innovation Fund,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Library Facilities,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Medusa,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Megan Ozeran,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Met with Business & Human Resources Service Center,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,New Business None Announcements,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Noyes,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Office of UG,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Physical Sciences Liaison,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2019-02-06,Sara Holder & Library Residents,MENTIONS
