name:ID(Organization),mentionCount:int
Faculty Agenda Committee Chairs,1
Faculty Development,1
Faculty Directory,1
Faculty Excellence,1
Faculty Job Titles,4
Faculty Meeting Agenda Committee,2
Faculty Meetings,6
"Faculty Retreat
Lisa",1
Faculty Review Committee,2
"Faculty Review Committee
See Recommendation",1
Faculty Senate,3
Faculty Staff Assistance Services,1
Faculty Summer Institute of Learning,1
Faculty Survey,1
Faculty and Academic Professional Staff Technology Allocation Program,1
Faculty and Academic Professionals,1
Faculty and Committee,1
Faculty or Arts & Humanities Division,1
Faculty or Civil Service,1
Faculty – Collection Management Services,2
"Faculty, A.P.",1
"Faculty, AP",1
Faculty/AP,5
Faculty/AP/Students,1
Faculty/APS,1
Fair,2
Fairly,1
Fall,11
Fall 2021 Library Service Satisfaction Survey,3
Fall CARLI Instruction Committee Webinars on Assessment,1
Fall CARLI Instruction Committee Webinars on Assessment – Lisa,1
"Fall Professional Development Activities
Possibilities",1
Fall Semester,3
Fall Semester Professional Development,1
Fall Workshops,1
Fault,1
Fault-Tolerant Computing,3
Faux Oak,1
Faye Jones,2
February Library Office,1
"Federal Depository
Library",1
Federal Social Media,3
Federal and State Government Documents,1
Federated,1
Feedback on Merging Monographs & Continuations Funds,1
Fidelity &,1
Field Trip Planning,1
File,1
Filling Backfile Holes,1
Final AC,1
Final Migration,1
Final Report Submittal,1
Final Review for Upcoming Calls,1
Finalize,1
Finalize Revised Committee,1
Finalize Specialized Faculty,2
"Finalize Updating of the Diversity Statement
Committee",1
"Finalize/Approve Charge
a. Susan",1
Financial Aid,1
"Financial Information
Systems",1
Financial Operations,1
"Financial Resources
• Facilities
• General Principles: • Collections
Diversity, Equity",1
Find L-CAP’s,1
Finding/Using,1
Fire Service Institute,1
First African American Ph.D.,2
First Floor Central Service Point Planning Team,1
First Floor Service Point,1
"First Floor, Southwest Corner",1
First Peoples,1
FirstSearch,1
FirstSearch WorldCat,1
Fiscal Controls and Internal Accounting,1
Fiscal Operations,1
Flat,1
Flat Budget,1
Floor Central Service Point Planning Group,3
Floor Central Service Point Planning Team Draft Charge,1
"Floor Central Service Point Planning Team Draft Charge
Deferred",1
Floor Planning Group,1
Floor of the Main Library,1
Flu Planning Update,1
Focus,1
Focus & Goals,1
Focus Areas,1
Focus Areas for Development,1
Focus Group,1
"Focus Group Protocol
Photovoice Protocol

Summary of Activities",1
Focus Group Questions,2
Focus Group Report,1
Focus Group Summary Report,1
"Focus Group Summary Report
Survey Summary Report",1
Focus Groups,2
Focus Groups and Survey] Adopt,1
Focus Groups and Survey] An,1
Focus Groups and Survey] Portable,1
Focus Groups and Survey] Some,1
Focus Groups] Classroom,1
Focus Groups] Creating,1
Focus Groups] Instructors,1
Focus on 4,1
Focus on University Value-Based Investments,1
Focus on comprehensive,1
Focus on student success,1
Folder,1
Following University,1
Food Science & Human Nutrition,1
Food Security,2
Food and Drink Policy,1
Food and Drink Policy-ClarkUnit,1
Ford,2
Form Entirely New Groups/Committees,1
Forum,1
Forum Update (Heather,1
"Forums
Lynn",1
Foundation,7
Foundation Weekend,1
Foundation Weekend:,1
Frames,1
Frameworks and Standards committee,1
Francisco and/or Megean Osuchowski,1
Friend,1
FriendScript,1
Friends,4
Friends Preservation Funds,1
Friends of the Library,1
Fujitsu,1
Fulfillment,1
Fulfillment (Circulation,2
Fulfillment/Circulation,1
Function,1
Functional Priorities,1
Fund Review,1
Funk,2
Funk ACES Library,1
Furniture News,1
Furniture News and Updates,1
Furniture and Technology,1
Future Directions,1
Future Faculty,1
Future Mortenson Center,3
Future Scheduling,1
Future Visit(s,1
"G
Mueller fund",1
G & H,1
G-Drive,2
G:/CollectionsInfo,2
GA,59
GA Allocations,1
GA Appointments,1
GA Evaluation Policy,2
GA Evaluations,2
GA Exit Interview Process Review,1
"GA Exit Interview Process Review
    Walter",1
GA ProcessThe GEO,1
GA Selection,1
GAP,3
GAR,1
GAS,1
GAships,1
GCS,1
GE,1
GELIC,4
GEN,1
GEO,12
GFA LAS,1
GH,1
GIF,2
GIFTS,1
GIS,7
GLBTQIA Training,1
GLSIS,2
GMD,1
GODORT,1
"GOVERNANCE
ARTICLE VI",1
GPA,3
GPO,2
GPU,2
GRAINGER ENGINEERING LIBRARY,1
"GRAINGER ENGINEERING LIBRARY
LITERATURES & LANGUAGES",1
GRANTS,3
GREAT,9
"GREAT
Diversity",1
GREAT Customer Service,1
"GREAT Customer Service Guidelines
G - Greet",1
GREAT SWAT Team (Committee,1
GREAT Training Update,1
GSLIS,1
GSLIS Communications,1
GSLIS Diversity Committee,1
GSLIS Students,1
GSLIS-Library Teaching Alliance,1
"Gale
Springer",1
Gale 19th Century Online,1
Gallery,3
Gate Count/Head Count and Reference,1
"Gate Count/Head Count/Other
Reference",1
Gates,3
Gates Foundation,1
Gates Foundation Peer,3
Gates Foundation/IREX,1
"Gateway
Spring Information Literacy Workshop
Respectfully",1
Gateway Reconfiguration Task Force,1
Gaylord,1
Gen Documents,1
Gender,2
Gender & Multicultural Services,1
Gender Queer,3
Gender Resources,1
Gender Resources Librarian,2
Gender and Women Studies Program,1
Gender/Gender Identity,1
General Brochure,1
General Funds,1
"General Housekeeping Business
Agenda",1
General Priorities,1
General Software Development and Application Support,1
Geneva: International Organization for Standardization,1
Gennye Varvel,18
Gennye Varvel (Social Sciences,29
Geographic Information Specialist,1
Geography Library,1
George & Cindy - March,2
George Mason University,1
"George, Collection Development
K.R. Roberto",1
Getting Involved,1
Getty Research Institute,1
Giertz Education Center,2
Gil Witte,2
Gilchrist,1
Global Connections,4
Global Connections Marketplace,1
Global Libraries,1
Global Resources Network,1
Global Strategies,1
Global Studies,4
"Going
Helen Sullivan",1
Going Forward,1
Gold Rush,1
Goldenberg-Hart,1
"Good
Practice",1
Good News,1
Goodreads,1
Google,46
"Google
Analytics",1
Google Analytics,5
Google Book Search,1
Google Books,2
Google Books Project,2
Google Digitization,1
Google Forms,1
Google Mail,1
Google Nexus 7 or,1
"Google Project Update
Highlights",1
Google Scholar,1
Google Summit,1
Google’s Autocomplete API,1
Gordon at CARLI,1
Gottschalk,1
Governance,2
Governance Task Force,6
Governance Task Force Charge,1
Governance Task Force Report,1
Governance and Administrative committee,1
Government Documents,7
Government Information,1
Government Information Services,3
Government Information Services Advisory Committee,1
Government Relations,1
Government Resources for Citizens,1
Government/Information,1
Governmental Relations,1
Governor’s State University,1
Grad,3
Grad College,1
Grad Hourlies,1
Grad Hourly,1
Grad Student,2
Grad Student Orientation: Foellinger,1
Grad Students,2
Grad Survey Participants,1
Grad Times,1
Grad hourly,1
GradLinks,1
GradTimes,1
Graduate,1
"Graduate
Assistants",1
Graduate Assistant Catalina Hernandez,1
Graduate Assistants,4
Graduate College,2
Graduate College Engagement,1
Graduate Employees Organization,1
Graduate Hourly,4
Graduate School of Library and Information Science,2
Graduate Student Information Literacy,1
Graduate Student Information Literacy Needs Assessment,1
"Graduate Student Information Literacy Needs Assessment
Lisa",1
"Graduate Student Information Literacy Needs Assessment
Melody Allison",1
"Graduate Student Information Literacy Needs Assessment
 
Respectfully",1
Graduate Student Information Literacy Needs Assessment:,1
Graduate Student Information Literacy Working Group,1
Graduate Student Research Awards,1
Graduate Student Survey,2
Graduate Student Survey Working Group,1
Graduate Students,1
"Graduate Students
SAC",1
Graduate Students and Advisors,1
Grainger,48
Grainger & UGL,1
Grainger Commons,9
"Grainger Commons
Agenda Details
Agenda
AGENDA
University of Illinois at Urbana-Champaign
Library Faculty Meeting Agenda",1
"Grainger Commons
Call",1
"Grainger Commons
Call or Order",1
"Grainger Commons
Summary",1
Grainger Engineering Library,6
"Grainger Engineering Library & Information Center
Funk Family Library",1
Grainger Engineering Library Information Center,2
"Grainger Engineering Library Information Center
Library Discovery",1
Grainger Engineering Library’s,2
Grainger Head Search Committee,1
Grainger Library,1
Grainger Library Commons,1
Grainger Search Committee,1
"Grainger, Chemistry",1
"Grainger, Funk",1
Grainger’s IDEA Lab,1
Grant,1
"Grant


Other Updates",2
"Grant
Discussion",1
Grant Application,1
"Grant Application
Action Item",1
Grant Process Update,1
"Grant, Programming
Check",2
Grant/Endowment,1
"Grants
Replacement",1
Grants & Contracts,1
Grants Coming Forward,1
Grants and Contracts,1
Grants and Contracts Coordinator,1
"Grants, Projects",1
Graphic Services,4
Great Britain Sessional Papers,1
Gregg - Promotional Paths,1
Gregory,2
Gresham Public Library,1
Grianger Commons,1
Grievance Committee,1
Group,12
Groups,5
Guatemalan Struggle,1
Guest,1
Guidelines,3
Guiding Principles,1
"H., & Ladau",1
HELIOS,1
HFL,1
HIPAA,1
HLC,3
HP,1
HPNL,12
"HPNL, Literatures & Languages",1
HR Processes,9
HRD,2
HRFE/Paris,1
HTML,1
HTRC,3
HTRC Activities & Services,1
HTRC Digital Humanities Specialist,1
HTRC Research Support Services,1
HTRC Uncamp,1
HUB,2
HUBzero,1
Habitat,1
Hadi Accessibility Discussion,1
Hahn,3
Hahn Innovation Fund Report,1
"Handouts
Borrower Information",1
Hangout,1
Hanna Lafond-Hyman,7
Hannelore Lovey,1
Hardware,1
Hariett Green,1
Harrassowitz,1
Harriet Green & CARLI,1
Harvard,9
Harvard’s COACHE,1
Harvard’s Widner Library,1
HathTrust Community,1
Hathi,1
Hathi Trust,3
Hathi Trust Share Print Program,1
HathiTrust,25
"HathiTrust 
Overview

Formed",1
HathiTrust Digital Library,1
HathiTrust ETAS,2
HathiTrust Research,1
HathiTrust Research Center,1
"HathiTrust Research Center
Mission &",1
"HathiTrust Research Center
Overview

Jointly",1
HathiTrust/Emergency Temporary Access Service,2
Hatthi Trust,1
Head Review Committee,1
Head of Research Data Services,1
"Head, Acquisitions and Cataloging Services",1
"Head, Literatures",2
Heads,3
"Health
Insurance US Dept",1
Health & Wellness,4
Health Equity,1
Health Sciences,3
Heart Healthy Month,1
Heartland College,1
Heather,11
Heather & Jake,1
Heather Murphy (Office of Library Advancement,2
Heavily,2
Heidi Imker-Faculty Meeting Agenda Committee,1
Helen,2
Hello Academic Professional Colleagues,1
Help,2
Help Desk Services,1
Help Desk and Application Support,1
Hensley – Undergraduate Research,1
Herding,1
Higher Ed Open Access Research,1
Higher Education,4
Higher Learning Commission,4
Hinchliffe,3
"Hinchliffe Innovation Fund Report
Lisa",1
Hire Touch,1
HireTouch,3
Hiring Priorities and Communication on Requests,2
Hist/Biog,2
Historically Black Colleges,1
"History, Computer Science, College of Law",2
"History, Philosophy & Newspaper",1
Hoa,2
Hoc Task Force – Open Access Policy,1
Hogenboom,3
Holdings,1
Holiday Party,1
Holiday/Intersession,1
Home,1
Home Page,2
Horizon Report,2
Hort,4
Hortfield,1
Hosting Diversity,1
"Hours
Budget Group Proposal",1
Hours Working Group,4
"Hours Working Group
Results of the Discussions of the Hours",1
Hours Working Group Update,2
HoursThe,1
House,1
Housing,2
Housing Facilities,1
Housing and University Library,1
Housing for Academic Programming,2
"Housing, Student
Affairs, Technology Services",1
Howerton,1
Hub,3
Hughes-Watkins,1
Human Development & Family Studies,1
Human Resource Development,1
Human Resources,11
Human and Community Development and Education,1
Humanities,4
Humanities & Interdisciplinary,2
Humanities Council,2
Humanities Division,2
Humanities Working Group,1
"Humanities, Social Sciences",1
Hynes Special Collection,1
Hypothesis for Discussion Purposes,1
I-Card,3
I-School and Chemistry,1
I-Share,1
I.,2
I. Acquisitions,1
I. Agenda & Upcoming Meetings,1
I. Feedback and/or Questions Received,1
"I. Introductions
II",3
"I. Overview
The University Statutes",1
I. Project Update,1
I. Report,1
I. Reproduction Fees,1
I. Welcome,14
"I. Welcome & Comments
II",1
I. Welcome – Introductions,2
I. Welcome,1
I.          Highlights of the year,1
"I.       Introductions
II",1
"I.             Welcome and Introductions
II",1
IAS,18
"IAS
 Need",1
IAS NSM,2
IASL,2
IBHE,2
IBM,3
IBS,1
ICHASS,1
ICPSR,1
ICR,11
ICR/Innovation,1
ID Cards,1
IDEA,4
"IDEA (Innovation, Disruption,",1
IDEA LAB,3
IDEA Lab,5
IDEAL,4
IDEALS,30
IDEALS & Scholarly Communications,1
"IDEALS Coordinator
• Rebecca Smith",1
IDEALS DSpace,1
IDEALS Rebuild,1
IDHH Board,2
IDI,1
IDM,1
IEEE,6
IFLA,8
IFLA Information Literacy Standing Committee,1
IFSI,1
IFSI Library,1
IGB,3
IGPA,3
IGTF,1
IHLC,1
IHR,5
IHRI,1
IHS,1
III,2
III Appendices,1
IIIF,1
IKE,2
IL,2
IL State,1
ILCS,2
ILCS 605/7,1
ILCSO,4
ILCSO Board,1
ILCSO User Education Committee,1
ILDS,2
ILFA,1
ILHC,1
ILI-L Discussion Thread,1
ILL,28
ILL/DD,3
ILLIAC,1
ILLIAD,1
ILLINET,1
ILLINOIS HISTORY & LINCOLN,1
ILLiad,2
ILS Systems Management Team,1
IM,7
IM Collaborator,3
IM Collaborator Software,1
IM Collaborator’s,1
IMC,2
IMLS,15
IMLS (Institute of Museum and Library Services,1
IMLS National Leadership Grant,1
IMLS Project,2
IMLS Project Welcome,1
"IMLS/China Grant
V. Gates Foundation Contract",1
IMP,1
IMS,4
IMSA,1
IMara Jones,1
"IND9
Ground Rules for Meetings
• Arrive",1
IND9 Fund Review,1
IND9 Fund Review Group,1
INGENAES,1
INTERNATIONAL & AREA,1
IOS,1
IP,10
IP of university,1
IPAD,1
IPEC,1
IPHRH,1
IPI Media Storage Quick Reference,1
IPM,3
IPRH,12
IPS,2
IR,2
IRB,20
IRB Citi,1
IRC,1
IRIS,5
IRIS/ABSEES,1
IRRC,2
IRS,2
IRs,1
ISCC PET (PAC Education Team,1
ISI,3
ISO,1
ISR Libraries,2
ISR Library,6
ISSN,1
ISSS,12
"ISSS
Cultural Communications",1
"ISSS
International Student and Scholar Services",1
ISSSTRAINS,1
"ISchool
Committee",1
ISchool Diversity Committee,1
IShare,1
IShare Next,1
IT Production Services,1
IT Workstation Network Support,1
ITAC,1
ITHAKA,1
ITHAKA S&R Faculty Survey Results –,1
ITPP,1
ITPRWG,2
IU Bloomington,1
IUB,1
IV under Direct Services (Personnel,1
"Ia. Enhance Recruitment
1",1
IberBibliotecas,1
Id. Implement Residency Program,1
"Identified Gaps
Project Management
Cross",1
Identify,3
Identify Tasks,1
Identify Theft,1
Iit,1
Ikenberry Commons,2
Ilesanmi Adesida,1
Illiad Reports Update,1
Illini Rooms A & B,1
Illini Success,1
Illini Union,4
"Illini Union
Agenda Details
Agenda
Call to Order
 
Standing Items",1
Illini Union Bookstore,1
IlliniCash,1
IlliniNews,1
"Illinois
Research",1
Illinois Black Student Group,1
Illinois Business Consulting,2
Illinois Cancer Center,1
Illinois Climate Action Plan,1
Illinois Connections,1
Illinois Data Bank,5
"Illinois Data Insights Working Group: Diversity, Equity",1
Illinois Data Science Institute,1
Illinois Digital Act,1
Illinois Digital Collections,1
Illinois Digital Environment for Access to Learning and Scholarship,1
Illinois Digital Heritage Hub,2
Illinois Digital Heritage Hub Website,2
Illinois Digital Library,1
Illinois Digital Newspaper Collections,5
Illinois Digital Newspapers,1
Illinois Digital Public Library,1
Illinois Distributed Museum Coordinator,1
Illinois Early Intervention Clearinghouse,1
Illinois Experts,7
"Illinois Experts, Distributed Museum",1
"Illinois Experts, Publishing",1
Illinois Experts: System,1
Illinois Fire Service,1
Illinois Fire Service Institute,3
"Illinois Fire Service Institute
University of Illinois-Urbana/Champaign
Office",1
Illinois HR Records Administration,1
Illinois Historical Surv,2
Illinois Historical Survey,1
Illinois History & Lincoln Collection,1
Illinois History & Lincoln Collections,2
Illinois Human Resources,9
"Illinois Human Resources
Policy and Administration",1
Illinois Humanities Research Institute,1
"Illinois Immersion Program
Lisa",1
Illinois Informatics Initiative,1
Illinois Information Literacy Summit,1
Illinois Information Literacy Summit (Moraine Valley Community College,3
Illinois Information Literacy Summit Report,1
Illinois Integrated Program,1
Illinois International,1
Illinois Legislature,1
Illinois Library Association,1
Illinois Library Records Confidentiality Act,2
Illinois Library System Act,1
Illinois Program for Research,3
Illinois Public Act,2
Illinois Research Connection,1
Illinois Research Connections,4
Illinois Researcher Connections,1
Illinois State Library,1
Illinois State University,3
"Illinois State University
University Data Summit 2.0 Fall 2018
Library Assessment Conference",1
Illinois Sustainable Energy,1
Illinois Transaction Log Analysis,1
Illinois/Library Records Confidentiality Act,1
Image,1
Image Permanence Institute,1
Imker,1
Immersion Funding,1
Immersion Funding – Lisa,1
Immersion Program,1
Immersive Learning Search Team,1
"Implementation Committee
Research",1
Implementation Team,4
Implementation Team’s,2
Implementing Academic Professional Promotion Process,1
Importance of CARLI,1
Improve,1
Improve Consulting,2
Improve User Services,1
"Improved Change Control and Communications
Questions",1
Improving Communications,1
Include,1
"Inclusion
EC",1
"Inclusion
Review Process for Promotion and Tenure
Overview
The Library",1
"Inclusion Policy
Administrative Council",1
Inclusion Search,2
Inclusion for Undergraduate Students,1
Inclusion in Administration,3
Inclusion in Administration and,1
Inclusion in Government Task Force,1
"Inclusion ←New Section
● Review Process for Promotion",1
Inclusive Illinois Committee,1
Inclusive Illinois Open House,1
Inclusive Illinois Survey,1
Inclusivity,1
Ind9,2
"Ind9 Review
- Tom Teper",1
"Ind9 Review
Tom",1
Independent Media Center,1
Indiana University,11
"Indiana University
The Scholars’ Commons",1
"Indiana University
University of Illinois",1
Indiana University’s Lilly Library,1
Industrial Relations Library,1
"Inflation/Devaluation Projections
• Current",1
Info/Camtasia Guidelines,1
InfoLit,2
Informal Council of Deans,1
Information Competency,1
Information Literacy Group,2
Information Literacy Services & Instruction,1
"Information Literacy Services Coordinator Position
Bob",1
Information Management,2
Information Power,1
Information Services Librarian & Associate,1
Information Technology,4
Information Technology and Libraries,1
Infrastructure Management Support (IMS,1
Infrastructure Management and Support,1
Infrastructure Management and Support (IMS,1
"Infrastructure Management and Support, Workstation and Network Support",1
Infrastructure and Special Project,1
Ingram,1
"Initial Discussion
D. Gale Acquisition
a. Goal",1
Initial Recommendations for Working Groups,1
Initial Working Group Discussions,1
Initiates,1
Inner Voices,2
"Inner Voices 
Planning",1
Inner Voices & Microaggression,1
"Inner Voices & Microaggressions 
Erik",1
Inner Voices Event,1
Innovation,2
Innovation Fund,22
Innovation Fund Application,2
Innovation Fund Proposal(s,1
Innovation Fund Proposals,1
Innovation Fund Report,4
Innovation Fund Update,1
Innovation Funding Project Final Report,3
Innovation Funding Requests,1
Innovation Reports,1
Innovation Seed Fund,1
Innovations Working Group,1
Innovative Fund,1
Innovative Fund Final Report,1
Instagram,4
"Instagram
Disability Resources and Educational Services,",1
Installing Microsoft Office,1
Institute,2
Institute for Information Literacy Assessment Program,1
"Institute of Education
Sciences",1
Institute of Museum and,1
Institute’s,2
Institutional Accreditation Visit,2
Institutional Advancement,2
Institutional Cost Recovered,2
Institutional Effectiveness,2
Instruction and Spaces,1
"Instructional Design
Project Management
Self-Paced: Sustainability",1
Instructional Facilities,1
Instructional Facility,1
Instructional Needs,1
Instructional Rooms,1
Instructional Services,1
Instructional Services Specialist,2
Instructional Spaces,8
Instructional Statistics,1
"Instructional Strategies / OPAC Training
Training",1
Instructional Technologies and Information Services,1
Instructional Technology Specialist,2
Instructor,2
Integrate Current and Future Services,1
Integrate New Services,1
Integrated Library System,1
Integrated Technologies,1
Integrating Access with,1
Integrative Biology,1
Integrity/Security,1
Intel,1
Intellectual Property,1
Inter-Library Borrowing,1
Interactive Learning Working Group,2
Interdepartmental Communication,1
Interdisciplinary Research,3
Interface,1
Interfolio,1
Interfolio Working Group,1
Interim Application Review,1
Interim Associate University,2
Interim Center,1
Interim Head,1
Interim University,3
Internal Marketing,1
Internal Patrons,1
Internal Revenue Service,1
Internal Students & STEM Students,1
Internal/External Reviewer,1
Internal/External Reviewers,1
International,5
International Area Studies,8
International Area Studies Division,3
International Area Studies Library,1
"International Area Studies, Life & Physical Sciences, Technical Services",1
International Development,1
International Education,2
International Education Week,5
"International Education Week
Emily",1
"International Education Week Working Group
Emily",2
"International Energy Research
Institute",1
International Federation of Library Associations and,1
International Institute for “Satellite Institute,1
International Planning and Development,1
International Program and Studies,1
International Programs,1
International Programs and Studies,1
"International Relations
Section of the Association of College and Research Libraries",1
International Scholar & Student Services,1
International Scholar Services,1
International Standard Serial Number,1
International Strategies Working Group,2
International Strategy Task Force,1
International Student and Scholar Services,2
International Student and Scholarly Services,1
International Studies and Budget Systems and Reform,1
"International Studies, Government
Information",1
International Woman’s Day,1
International and Area Studies,6
Interpersonal Skills,1
Interpretation of Data and Key Findings,1
Interview/Q&A,1
Interviews,4
Intranet,2
Intranet Working Group Update,1
Introduction - Overview,1
Introduction of New Employees,6
Introduction to Data Management,1
"Introductions


Review Committee Information https://www.library.illinois.edu/staff/committee/diversity-committee/",1
"Introductions


Review Committee Information https://www.library.illinois.edu/staff/committee/diversity-committee/
Charge
Membership
Minutes",1
"Introductions
Committee",1
"Introductions & Community Agreement
Jen",1
Invest,3
Investigation Time,4
"Investigation Time
Professional Development Funds
IT Equipment
Probationary Period/",1
Investigation Time for Academic Professional Employees,2
Investment for Growth Proposals,1
Invite Cultural Houses,1
Invited Attendees,34
Ischool,1
IssuesPersonnel,1
Item Permanent Location,1
Ithaca College,2
Ithaka,38
Ithaka Faculty Survey,1
"Ithaka Faculty Survey Data/Reports
Lisa",2
Ithaka Graduate Student Survey,2
Ithaka Undergraduate Student Survey,3
J. & D. Goldenberg-Hart,1
J. & McCormick,1
J. Block,3
J. Rimkus,1
J. Weible – Systems,1
J1/J2 & B1/B2,1
JCDL,2
JJ,1
JJ Pionke (Social Science,1
JLK,10
JLK/Brightspot,1
JP,1
JPD,1
JSTOR,6
JSTOR/Muse Pilot,1
Jake,8
Jake Mac Gregor,1
Jake MacGregor Co-Chair,10
Jake and Zoe,1
"Jake, Zoe",1
Jake/Zoe,1
"Jameatris

         Reading Workshops",4
"Jameatris

Grad",1
"Jameatris

Updates",2
Jameatris Rimkus,34
Janice,3
Janice Harrington,1
Janla University,1
Jason Strutz &,1
Jaya Raju,1
"Jean, Catalina and",1
Jen,17
"Jen
4",1
"Jen
Collection Development",1
Jen & Belinda,1
"Jen & Lindsay
Jen",1
Jen Chien­Yu,1
Jen and Hoa,1
Jen and Tiffany,1
Jen for Innovation Funds,1
Jen jyu@illinois.edu - coordinator,1
Jen thanks Heather,1
"Jen, DoMonique",1
"Jen, Heather",1
"Jen, JoAnn",1
Jen-Chien,2
Jen-Chien Yu,18
"Jen-Chien Yu
Absent",2
"Jen-Chien Yu
Jason Strutz",1
"Jen-Chien Yu
Minutes",1
Jen-Chien Yu jyu@illinois.edu,12
"Jen-Chien Yu jyu@illinois.edu
Meeting",1
Jen-chien,5
Jen-chien & Bill,1
Jen-chien Yu,1
"Jen-chien Yu
Survey Information
Survey: Diversity, Equity, Inclusion and Accessibility (DEIA",1
"Jen-chien Yu, Coordinator of Library Assessment",1
Jen-chien Yu’s,1
Jen: Thinking about,1
Jen’s,5
"Jessica
Budget – Cindy",5
Jessica campus Diversity & Leadership,1
JoAnn,2
JoAnn Jacoby Associate University,1
JoAnn’s,2
Joe & Jessica,2
Joe & Victor,1
"Joe  

Review and Approve Shared Agreement – Jessica
Jessica",1
"Joe, Victor,",1
John-Council of Deans,1
John/Jake,1
Johns Hopkins,1
Joint AC/,2
Joint Advisory Committee on Investment,1
Joint Diversity Committee,4
Journal,1
Journal of Library Administration,1
Judgment/Problem Solving,1
Juggles,1
Julia,7
Julia Cross,4
Julia Shapland,1
July Board of Trustees,1
K. Fischer,1
"K. Fischer
University Libraries,",1
KANOPY,1
KB,1
KCPA,1
KPI,1
Kankakee Public Library,1
Kanopy Evaluation Team,1
Karen,1
"Karen, Scott, Jeff",1
KarenThe,1
Karger,1
"Karl 
Group",1
Kaskaskia,1
"Katie
University Libraries, University of Illinois at Urbana-Champaign 1
Meeting Summary",1
Kaufman – Champaign Public Library,1
KaufmanAre,1
KaufmanIn,1
KaufmanNot,1
KaufmanThe,1
KaufmanThe Executive Committee,1
Keeping Social Media Accessible,1
Keeps,1
Keiken,1
KellyWe,1
Kenya National Library Board,1
"Kerr, Paulette",1
Key Control OfficerThe Key Control Officer,1
Key Control and Access Authorization,1
KeyIn,1
Kick-Off,1
Kiesewetter Net ID,1
Kiesling,2
Kilton – Arts & Humanities,1
"Kim, Theresa",1
Kirsten,1
Kirstin,36
Kirstin Dougan,60
Kirstin Dougan’s,1
Kirstin Johnson,2
Kluwer,4
Kluwer Online,1
Knight,1
Knight Auditorium,1
Knovel,1
"Kolb-Proust
Binding",1
Kortney,1
Kraft,1
Krannert,1
Krannert Art Museum,1
Kris Fitzpatrick,1
Kris Hammerstrand (CARLI,1
Kris Kiesling,1
Kristyn,2
Kruger-AC,1
KrugerThe,2
KrugerThe CPS Division,1
KrugerThe Divisions,1
KrugerThe Systems Office,1
KrugerThey,1
"Krystal
Minute Taker",2
Krystal Simmons,1
Krystle,2
"Krystle 
Discussion",1
Kuali OLE,1
Kudos to Tech Services,2
KyleRimkus,1
Kyushu University,4
"Kyushu University University of Illinois
- A",1
L-CAP,91
L-CAP /,2
L-CAP 2018,1
L-CAP Co-Chair,1
L-CAP Committee,18
"L-CAP Committee Report
Highlights",1
"L-CAP Committee Report
• L-CAP",1
L-CAP EC,1
L-CAP Election,1
"L-CAP Election
Need",1
L-CAP Meetings,4
L-CAP Membership,21
"L-CAP Membership Update
Beginning",1
L-CAP Monthly,1
L-CAP Overview,1
L-CAP Quarterly Meeting,1
L-CAP Report,2
L-CAP Responsibilities,1
L-CAP Special Transitional Meeting,1
L-CAP Spread,1
L-CAP Stamp of Approval,1
L-CAP Update,26
L-CAP's,6
L-CAP/LSSC,1
L-CAP’s,1
"L.A.
County Public Library",1
LA Casa,1
LA Times,1
LABOR & INDUSTRIAL RELATIONS,1
LAC,2
LAMP,6
LAS,12
LAS ESL,1
LASC,3
LATIN AMERICAN & CARIBBEAN,1
LBC Committee,1
LBCC,1
LBP,3
LCAP,34
LCAP Chairs/Co-Chairs,6
LCAP/AC/LSSC,1
LCAP/LSSC,1
LCD,3
LCIT,5
LCP,25
LCP Co-Chairs:,1
LCP Webtools,1
LCP’s AP Promotion Program,1
LCWG,5
LEAP,1
LEARN,10
"LEARN/UGL Webpages/LibGuides Content Review
Susan",1
LEITC,3
LER,1
LGBT,1
LGBT Studies,1
LGBTRC,1
LIASA,1
LIB,11
LIB-NEWS,5
LIB-News,2
LIB-Staff,1
LIB-news,1
LIBAP-L,2
LIBFAC,8
LIBFAC-L,2
LIBFAC-L.,1
"LIBFAC-L.
3",1
LIBNEWS,22
LIBNEWS-L,4
LIBNEWS-l,1
LIBRARY,1
LIBRARY & INFORMATION SCIENCE LIBRARY CLOSED,1
LIBSTAFF,1
LIBnews,2
LIBstaff,3
LIGHTING,1
LILAC Conference,1
LIRT,1
LIS,4
LIS Access Midwest Program,1
LIS Library,1
LISSA,1
LITA/Ex Libris Student Writing Award,1
LITC,1
LJUR,4
LLAMA,1
LLL,2
LMS,1
LOAX,1
LOC,1
LON,11
LOT,2
LOUNGE,1
LPS,1
LSC,1
LSCC,1
LSED,2
LSPSED,1
LSPT,9
LSPT Chairs,1
LSSC,14
"LSSC
Question",1
"LSSC & LCAP & Faculty 
Associate Director of Diversity, Equity, Inclusion & Accessibility",2
LSSC Committee,1
LSSC Communication,1
LSSC Coordinating Conference(s,1
LSSC Newsletter,1
"LSSC, Staff Development",1
LSSC/LCAP,10
LSSC/LCAP Chairs and Co-Chairs,1
LSSC/LCAP Chairs and Co-Chairs:,6
LSSC/LCP,11
"LSSC/LCP
 
Minutes",1
LSSC/LCP Agenda,4
LSSC/LCP Representatives,1
"LSSC/LCP Representatives 
LCP",1
LSSC’s,1
LSSC’s Role Going Forward,2
LSTA,1
LSX,1
LTA,2
LTS,2
LWiley,3
La Casa,2
La Casa Latina,1
